amadeus_code,tripadvisor_name,lat,lon,location_cell,total_amount,date
YXNYCROG,The Roger,40.7458,-73.98433,7.0,326.57,2017-11-16
DSNYCWHE,The Whitby Hotel,40.76259,-73.97575,97.0,1030.51,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,151.53,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,140.05,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,128.58,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,128.58,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,136.72,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,126.4,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,116.07,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,116.07,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,136.72,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,126.4,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,116.07,2017-11-16
CIJFK464,Comfort Inn Times Square West,40.75906,-73.99007,99.0,116.07,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,322.15,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,347.65,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,373.15,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,343.15,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,373.15,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,747.15,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,747.15,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,379.0,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,409.0,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,439.0,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,409.0,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,439.0,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,879.0,2017-11-16
MRNYCSPA,Mondrian Park Avenue,40.74477,-73.98317,92.0,879.0,2017-11-16
BWNYC114,Best Western Plus Hospitality House,40.75618,-73.97362,70.0,468.49,2017-11-16
BWNYC114,Best Western Plus Hospitality House,40.75618,-73.97362,70.0,422.59,2017-11-16
BWNYC114,Best Western Plus Hospitality House,40.75618,-73.97362,70.0,422.59,2017-11-16
BWNYC114,Best Western Plus Hospitality House,40.75618,-73.97362,70.0,343.42,2017-11-16
BWNYC114,Best Western Plus Hospitality House,40.75618,-73.97362,70.0,343.42,2017-11-16
YXNYC467,Walker Hotel Greenwich Village,40.73605,-73.99598,111.0,560.03,2017-11-16
YXNYC467,Walker Hotel Greenwich Village,40.73605,-73.99598,111.0,645.0,2017-11-16
YXNYC467,Walker Hotel Greenwich Village,40.73605,-73.99598,111.0,504.95,2017-11-16
YXNYC467,Walker Hotel Greenwich Village,40.73605,-73.99598,111.0,581.0,2017-11-16
YXNYC467,Walker Hotel Greenwich Village,40.73605,-73.99598,111.0,504.38,2017-11-16
YXNYC467,Walker Hotel Greenwich Village,40.73605,-73.99598,111.0,580.5,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,489.74,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,489.74,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,489.74,2017-11-16
XTNYC720,The Manhattan Club,40.76488,-73.98072,23.0,323.03,2017-11-16
