name,date_scraped,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
Wyndham Garden Chinatown,2017-11-01,12/9/2017,12/10/2017,2,1,"93 Bowery, New York City, NY 10002-4915",Booking.com,"1,582",4.5,399,151-436,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Room Service', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Concierge', 'Banquet Room', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",151,4.0 Star Hotel,/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York.html
The James New York - SoHo,2017-11-01,12/9/2017,12/10/2017,2,1,"27 Grand St., New York City, NY 10013-1618",The James New York,"1,432",4.5,515,298-647,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Pool', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Babysitting', 'Breakfast Available', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Pool']",189,4.5 Star Hotel,/Hotel_Review-g60763-d1785018-Reviews-The_James_New_York_SoHo-New_York_City_New_York.html
Hampton Inn Manhattan-SoHo,2017-11-01,12/9/2017,12/10/2017,2,1,"54 Watts St, New York City, NY 10013",Orbitz.com,"1,717",4,349,156-414,"['Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Multilingual Staff', 'Dry Cleaning', 'Meeting Rooms', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",301,3.0 Star Hotel,/Hotel_Review-g60763-d866615-Reviews-Hampton_Inn_Manhattan_SoHo-New_York_City_New_York.html
Sohotel,2017-11-01,12/9/2017,12/10/2017,2,1,"341 Broome St, New York City, NY 10013-4236",Booking.com,"1,302",3.5,379,117-422,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Breakfast Available', 'Dry Cleaning', 'Air Conditioning', 'Bar/Lounge']",254,3.0 Star Hotel,/Hotel_Review-g60763-d292140-Reviews-Sohotel-New_York_City_New_York.html
The Nolitan Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"30 Kenmare St, New York City, NY 10012-4613",Hotwire.com,957,4.5,510,241-557,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Room Service', 'Restaurant', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Room Service', 'Air Conditioning', 'Bar/Lounge', 'Restaurant']",160,3.5 Star Hotel,/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York.html
SIXTY SoHo,2017-11-01,12/9/2017,12/10/2017,2,1,"60 Thompson St, New York City, NY 10012-4308",Booking.com,985,4.5,585,318-781,"['Restaurant', 'Room Service', 'Free Internet', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Meeting Rooms', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",93,4.5 Star Hotel,/Hotel_Review-g60763-d93398-Reviews-SIXTY_SoHo-New_York_City_New_York.html
Arlo SoHo,2017-11-01,12/9/2017,12/10/2017,2,1,"231 Hudson St, New York City, NY 10013-1412",Booking.com,642,4.5,359,158-453,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Refrigerator in room', 'Air Conditioning', 'Restaurant', 'Bar/Lounge']",67,4.0 Star Hotel,/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York.html
Hampton Inn Manhattan / Downtown - Financial District,2017-11-01,12/9/2017,12/10/2017,2,1,"32 Pearl St, New York City, NY 10004-2111",Booking.com,579,4,350,148-438,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",240,3.0 Star Hotel,/Hotel_Review-g60763-d3580899-Reviews-Hampton_Inn_Manhattan_Downtown_Financial_District-New_York_City_New_York.html
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,2017-11-01,12/9/2017,12/10/2017,2,1,"6 Water Street, New York City, NY 10004",Booking.com,28,4.5,297,160-437,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Business Center with Internet Access', 'Breakfast Available', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",336,3.0 Star Hotel,/Hotel_Review-g60763-d12297961-Reviews-Hilton_Garden_Inn_NYC_Financial_Center_Manhattan_Downtown-New_York_City_New_York.html
"The Ritz-Carlton New York, Battery Park",2017-11-01,12/9/2017,12/10/2017,2,1,"2 West St, New York City, NY 10004-1074",Hotwire.com,"2,228",4.5,655,399-996,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Spa', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Spa', 'Bar/Lounge']",91,5.0 Star Hotel,/Hotel_Review-g60763-d222959-Reviews-The_Ritz_Carlton_New_York_Battery_Park-New_York_City_New_York.html
