tripadvisor_name,amadeus_name,tripadvisor_url,amadeus_code
"The Beekman, A Thompson Hotel","The Beekman, A Thompson Hotel",/Hotel_Review-g60763-d8615610-Reviews-The_Beekman_A_Thompson_Hotel-New_York_City_New_York.html,TMNYCBEE
Four Seasons Hotel New York Downtown,Four Seasons New York Downtown,/Hotel_Review-g60763-d10330604-Reviews-Four_Seasons_Hotel_New_York_Downtown-New_York_City_New_York.html,FSNYC009
The French Quarters Guest Apartments,French Quarters Guest Apt,/Hotel_Review-g60763-d1415127-Reviews-The_French_Quarters_Guest_Apartments-New_York_City_New_York.html,HONYCFQG
1 Hotel Central Park,1 Hotel Central Park,/Hotel_Review-g60763-d6883205-Reviews-1_Hotel_Central_Park-New_York_City_New_York.html,BINYCHOT
Park Hyatt New York,Park Hyatt New York,/Hotel_Review-g60763-d6582176-Reviews-Park_Hyatt_New_York-New_York_City_New_York.html,HYNYCPNY
EVEN Hotel New York - Midtown East,Even Hotel Midtown East,/Hotel_Review-g60763-d10131859-Reviews-EVEN_Hotel_New_York_Midtown_East-New_York_City_New_York.html,VNNYC5D0
"The Ritz-Carlton New York, Central Park",The Ritz-carlton Central Park,/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html,RZNYCCPZ
The Lex NYC,The Lex Nyc,/Hotel_Review-g60763-d6201200-Reviews-The_Lex_NYC-New_York_City_New_York.html,PWNYC087
Residence Inn New York Manhattan / Midtown East,Residence Inn Midtown Marriott,/Hotel_Review-g60763-d3583686-Reviews-Residence_Inn_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,RCNYCHAR
San Carlos Hotel,San Carlos Hotel,/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York.html,UINYCSCH
Cambria hotel & suites New York - Chelsea,Cambria Hotel Ny Chelsea,/Hotel_Review-g60763-d7130807-Reviews-Cambria_hotel_suites_New_York_Chelsea-New_York_City_New_York.html,EZNYC537
The New York EDITION,The New York Edition,/Hotel_Review-g60763-d7787303-Reviews-The_New_York_EDITION-New_York_City_New_York.html,EBNYCEBE
Hyatt Centric Times Square New York,Hyatt Centric Times Square New York,/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York.html,HYNYCTSQ
The NoMad Hotel,The Nomad Hotel,/Hotel_Review-g60763-d2643161-Reviews-The_NoMad_Hotel-New_York_City_New_York.html,WVNYC380
The Peninsula New York,The Peninsula New York,/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York.html,PNNYC772
Park South Hotel,Park South Hotel,/Hotel_Review-g60763-d225942-Reviews-Park_South_Hotel-New_York_City_New_York.html,YXNYCPSH
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",Homewood New York Manhattan Times Square,/Hotel_Review-g60763-d5040757-Reviews-Homewood_Suites_by_Hilton_New_York_Midtown_Manhattan_Times_Square_South_NY-New_York_Cit.html,HGNYC454
Arlo NoMad,Arlo Nomad,/Hotel_Review-g60763-d10541730-Reviews-Arlo_NoMad-New_York_City_New_York.html,CKNYCTOM
Fitzpatrick Manhattan Hotel,Fitzpatrick Manhattan Hotel,/Hotel_Review-g60763-d113309-Reviews-Fitzpatrick_Manhattan_Hotel-New_York_City_New_York.html,YXNYCFMH
The Bernic Hotel,The Bernic Hotel,/Hotel_Review-g60763-d8776490-Reviews-The_Bernic_Hotel-New_York_City_New_York.html,WVNYC826
"Mandarin Oriental, New York",Mandarin Oriental New York,/Hotel_Review-g60763-d281071-Reviews-Mandarin_Oriental_New_York-New_York_City_New_York.html,MONYCMO1
Chelsea Pines Inn,Chelsea Pines Inn,/Hotel_Review-g60763-d122020-Reviews-Chelsea_Pines_Inn-New_York_City_New_York.html,YXJFK102
Hotel Pennsylvania New York,Hotel Pennsylvania,/Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania_New_York-New_York_City_New_York.html,YXNYCNHP
Hotel 31,Hotel 31,/Hotel_Review-g60763-d126257-Reviews-Hotel_31-New_York_City_New_York.html,YXNYC068
Royal Park Hotel,Royal Park Hotel And Hostel,/Hotel_Review-g60763-d1155229-Reviews-Royal_Park_Hotel-New_York_City_New_York.html,WVNYC624
Chelsea Savoy Hotel,Chelsea Savoy Hotel,/Hotel_Review-g60763-d112019-Reviews-Chelsea_Savoy_Hotel-New_York_City_New_York.html,WVNYC254
Seton Hotel,Seton Hotel,/Hotel_Review-g60763-d121991-Reviews-Seton_Hotel-New_York_City_New_York.html,YXNYCHSE
Comfort Inn Manhattan Bridge,Comfort Inn Manhattan Bridge,/Hotel_Review-g60763-d1383001-Reviews-Comfort_Inn_Manhattan_Bridge-New_York_City_New_York.html,CINYC355
Marrakech Hotel,Marrakech Hotel Nyc,/Hotel_Review-g60763-d113343-Reviews-Marrakech_Hotel-New_York_City_New_York.html,WVNYC619
Clarion Hotel Park Avenue,Clarion Hotel Park Avenue,/Hotel_Review-g60763-d224217-Reviews-Clarion_Hotel_Park_Avenue-New_York_City_New_York.html,CCNYC222
Amsterdam Court Hotel,Amsterdam Court,/Hotel_Review-g60763-d80075-Reviews-Amsterdam_Court_Hotel-New_York_City_New_York.html,YHNYCCOU
Midtown West Hotel,Manhattan West Hotel,/Hotel_Review-g60763-d6701149-Reviews-Midtown_West_Hotel-New_York_City_New_York.html,YXNYC303
Americana Inn,Americana Inn,/Hotel_Review-g60763-d121981-Reviews-Americana_Inn-New_York_City_New_York.html,YXNYCSLE
The Wall Street Inn,The Wall Street Inn,/Hotel_Review-g60763-d251906-Reviews-The_Wall_Street_Inn-New_York_City_New_York.html,SCNYC008
"Club Quarters Hotel, Wall Street","Club Quarters Hotel, Wall St",/Hotel_Review-g60763-d217623-Reviews-Club_Quarters_Hotel_Wall_Street-New_York_City_New_York.html,CQNYC684
Days Inn Hotel New York City-Broadway,Days Inn Hotel New York City-b,/Hotel_Review-g60763-d142114-Reviews-Days_Inn_Hotel_New_York_City_Broadway-New_York_City_New_York.html,DINYC486
New York Marriott Downtown,New York Marriott Downtown,/Hotel_Review-g60763-d93477-Reviews-New_York_Marriott_Downtown-New_York_City_New_York.html,MCNYCWSM
Comfort Inn Lower East Side,Comfort Inn Lower East Side,/Hotel_Review-g60763-d5888246-Reviews-Comfort_Inn_Lower_East_Side-New_York_City_New_York.html,CINYC551
Wolcott Hotel,Hotel Wolcott,/Hotel_Review-g60763-d93333-Reviews-Wolcott_Hotel-New_York_City_New_York.html,UZNYC448
Manhattan Broadway Hotel,Manhattan Broadway Hotel,/Hotel_Review-g60763-d122007-Reviews-Manhattan_Broadway_Hotel-New_York_City_New_York.html,WVNYC062
Holiday Inn New York City - Wall Street,Holiday Inn Nyc Wall Street,/Hotel_Review-g60763-d1234559-Reviews-Holiday_Inn_New_York_City_Wall_Street-New_York_City_New_York.html,HINYC596
DoubleTree by Hilton Hotel New York City - Financial District,Doubletree By Hilton Nyc Financial,/Hotel_Review-g60763-d1858923-Reviews-DoubleTree_by_Hilton_Hotel_New_York_City_Financial_District-New_York_City_New_York.html,DTNYC917
Aloft Harlem,Aloft Harlem,/Hotel_Review-g60763-d1878946-Reviews-Aloft_Harlem-New_York_City_New_York.html,ALNYC353
Orchard Street Hotel,Orchard Street Hotel,/Hotel_Review-g60763-d7939016-Reviews-Orchard_Street_Hotel-New_York_City_New_York.html,WVNYC109
Hudson River Hotel,Hudson River Hotel,/Hotel_Review-g60763-d596200-Reviews-Hudson_River_Hotel-New_York_City_New_York.html,GDNYCHRH
The Franklin,The Franklin Hotel,/Hotel_Review-g60763-d93575-Reviews-The_Franklin-New_York_City_New_York.html,XTNYCFRA
Best Western Bowery Hanbee Hotel,Best Western Bowery Hanbee Htl,/Hotel_Review-g60763-d1060157-Reviews-Best_Western_Bowery_Hanbee_Hotel-New_York_City_New_York.html,BWNYC133
Holiday Inn Express New York City-Wall Street,Holiday Inn Exp Nyc Wall St,/Hotel_Review-g60763-d1465008-Reviews-Holiday_Inn_Express_New_York_City_Wall_Street-New_York_City_New_York.html,HINYC9C1
The Gatsby Hotel,"Gatsby Hotel, An Ascend Hotel Collection",/Hotel_Review-g60763-d247814-Reviews-The_Gatsby_Hotel-New_York_City_New_York.html,NZNYC425
Courtyard New York Downtown Manhattan / World Trade Center Area,Courtyard Wtc Area Marriott,/Hotel_Review-g60763-d9761545-Reviews-Courtyard_New_York_Downtown_Manhattan_World_Trade_Center_Area-New_York_City_New_York.html,CYNYCXMC
Dylan Hotel NYC,Dylan Hotel,/Hotel_Review-g60763-d217622-Reviews-Dylan_Hotel_NYC-New_York_City_New_York.html,PWNYCDYL
Eurostars Wall Street,Eurostars Wall Street,/Hotel_Review-g60763-d1164645-Reviews-Eurostars_Wall_Street-New_York_City_New_York.html,LEJFK129
The Frederick Hotel,Cosmopolitan Now The Frederick,/Hotel_Review-g60763-d93351-Reviews-The_Frederick_Hotel-New_York_City_New_York.html,BTNYC7A3
Aloft Manhattan Downtown Financial District,Aloft Manhattan Downtown Financial Dist,/Hotel_Review-g60763-d7605857-Reviews-Aloft_Manhattan_Downtown_Financial_District-New_York_City_New_York.html,ALNYC647
Millennium Hilton New York Downtown,Millennium Hilton New York Downtown,/Hotel_Review-g60763-d262330-Reviews-Millennium_Hilton_New_York_Downtown-New_York_City_New_York.html,HHNYC402
Hampton Inn Manhattan-Seaport-Financial District,Hampton Inn Manhattan Seaport,/Hotel_Review-g60763-d277882-Reviews-Hampton_Inn_Manhattan_Seaport_Financial_District-New_York_City_New_York.html,HXNYC320
Residence Inn New York Downtown Manhattan/World Trade Center Area,Residence Inn Downtwn Marriott,/Hotel_Review-g60763-d7182804-Reviews-Residence_Inn_New_York_Downtown_Manhattan_World_Trade_Center_Area-New_York_City_New_Yor.html,RCNYCRLR
Hotel Mulberry,Hotel Mulberry,/Hotel_Review-g60763-d1791248-Reviews-Hotel_Mulberry-New_York_City_New_York.html,YXNYC633
Four Points by Sheraton New York Downtown,Four Points New York Downtown,/Hotel_Review-g60763-d7595213-Reviews-Four_Points_by_Sheraton_New_York_Downtown-New_York_City_New_York.html,SINYC642
World Center Hotel,World Center Hotel,/Hotel_Review-g60763-d1553789-Reviews-World_Center_Hotel-New_York_City_New_York.html,YXNYCWCH
