location_cell,id,2017-12-06 to 2017-12-07,2017-12-16 to 2017-12-17,2017-12-26 to 2017-12-27
111.0,2272739,199,199,199
111.0,3650524,75,75,75
111.0,13883249,108,108,108
111.0,9990313,290,290,340
111.0,2307885,1650,1650,1650
111.0,500724,210,210,210
111.0,15581887,240,240,450
111.0,271954,225,235,225
111.0,563442,197,197,197
111.0,8166218,220,220,220
111.0,4688613,600,600,600
111.0,17465199,123,123,123
111.0,3836180,225,225,225
78.0,9214901,199,199,199
78.0,8221965,190,190,190
78.0,1856514,135,135,135
78.0,16178389,450,399,550
78.0,4276618,120,160,200
78.0,9380524,150,150,150
78.0,13282587,203,200,217
78.0,4965275,115,115,115
78.0,11680375,200,200,200
78.0,18795534,250,250,250
78.0,19764136,255,285,255
78.0,18393354,98,98,98
78.0,10137499,229,229,229
83.0,15506426,109,99,99
83.0,2440044,305,305,305
83.0,11918887,110,110,110
83.0,19408844,155,150,175
83.0,16971895,600,600,600
83.0,10860601,150,150,150
83.0,19622470,119,119,119
83.0,18933994,92,89,90
83.0,320900,189,159,289
83.0,19242867,190,250,210
83.0,15254789,209,239,300
83.0,392794,78,78,77
83.0,16297779,475,420,420
83.0,7601870,200,250,250
118.0,19865338,380,380,380
118.0,20527717,181,228,172
118.0,12764482,90,90,90
118.0,20413811,122,117,117
118.0,8590275,340,340,340
118.0,14388924,195,195,195
118.0,7997058,300,395,400
118.0,5691265,150,150,150
118.0,15827516,538,450,410
118.0,19296358,75,75,95
118.0,18639615,350,245,315
118.0,943814,220,198,299
118.0,20714171,271,200,350
118.0,21173134,350,280,400
118.0,18035508,490,490,490
122.0,394235,350,350,350
122.0,4347579,2000,2500,2000
122.0,18003567,379,349,449
122.0,7837952,265,285,300
122.0,5850978,220,200,220
122.0,8235198,240,240,240
122.0,7328712,95,95,95
122.0,19397470,189,219,239
122.0,10822131,99,99,99
122.0,16741278,90,90,90
122.0,14389886,200,200,305
122.0,9108110,220,220,220
122.0,14522699,399,555,475
122.0,6474627,299,349,299
122.0,1900780,229,229,229
122.0,20602225,499,499,499
63.0,20755180,250,200,250
63.0,3703633,250,250,250
63.0,11318587,550,600,550
63.0,6311493,210,210,210
63.0,20150376,275,275,275
63.0,2250170,1500,1500,1500
63.0,14043464,175,175,190
63.0,1990492,84,84,200
63.0,7900908,185,220,286
63.0,15234773,80,80,80
63.0,13651250,160,160,195
63.0,3870158,145,165,145
63.0,9944017,235,240,235
63.0,13389421,155,155,155
63.0,1839818,139,139,220
63.0,13082319,365,365,375
63.0,7843696,79,79,79
63.0,16005284,100,100,100
63.0,4909438,175,175,175
104.0,17152842,340,309,309
104.0,17942891,340,309,309
104.0,17335011,149,149,149
104.0,20055581,400,400,400
104.0,19113883,448,407,407
104.0,20981218,150,150,140
104.0,13283633,50,50,50
104.0,16063352,247,247,247
104.0,16440259,340,309,309
126.0,12206316,252,252,252
126.0,483485,250,300,350
126.0,19382201,190,225,190
126.0,9493786,75,75,75
126.0,923725,120,130,120
126.0,15841177,250,230,250
126.0,19958302,200,275,200
126.0,2189119,450,325,450
126.0,9563868,289,289,289
126.0,5068702,199,199,199
126.0,3803622,210,210,210
126.0,15832811,145,150,145
126.0,9233883,175,175,175
126.0,12381491,84,85,115
126.0,20439609,150,150,150
126.0,16613993,55,66,55
126.0,6476426,300,300,300
50.0,7535868,35,35,35
50.0,14823552,36,36,48
50.0,8115321,75,75,75
50.0,20427684,33,41,41
50.0,14148550,81,79,80
50.0,20819116,79,69,64
50.0,18347335,59,59,59
50.0,15065651,34,34,59
50.0,14042437,40,40,40
50.0,11778351,37,37,41
50.0,20667472,66,75,75
50.0,19620259,45,45,45
50.0,17990894,40,40,60
50.0,11649096,36,36,36
50.0,13073701,90,99,90
50.0,13082957,52,52,60
50.0,14667640,135,135,135
1.0,16226184,40,40,40
1.0,6913240,80,130,80
1.0,16976267,46,46,46
1.0,19055613,47,47,47
1.0,11964716,45,45,53
1.0,6426240,55,85,70
1.0,17496531,30,35,42
1.0,20786121,40,40,40
1.0,11963660,50,50,95
1.0,20250906,58,58,58
1.0,21121887,31,30,25
1.0,20363656,50,50,50
1.0,17007971,70,70,70
101.0,11859901,50,50,50
101.0,12534110,125,125,125
101.0,16374376,285,285,285
101.0,4698707,550,550,550
101.0,2494739,300,300,300
101.0,19329911,60,60,60
101.0,4981192,170,170,170
101.0,8361588,75,75,75
101.0,12654039,130,150,130
101.0,19903510,71,71,71
101.0,13355757,100,100,100
101.0,21125733,95,81,81
101.0,7696645,200,195,220
101.0,15181451,150,150,150
101.0,19858764,170,170,170
101.0,20641274,61,61,61
101.0,20722165,95,95,95
20.0,16324410,40,40,42
20.0,19431893,36,38,37
20.0,4550041,65,65,77
20.0,20690681,140,150,170
20.0,16276632,41,41,42
20.0,7037918,60,60,60
20.0,16248277,259,300,259
20.0,10186192,45,45,50
20.0,16396370,68,65,68
20.0,11618854,45,45,50
20.0,21104475,45,45,50
20.0,4743172,101,101,101
20.0,12645495,175,175,175
20.0,7125107,45,45,45
80.0,7808356,130,130,130
80.0,8170276,100,100,100
80.0,4802374,120,120,120
80.0,69266,299,299,399
80.0,9052018,195,195,195
80.0,14884022,132,129,129
80.0,4762799,120,120,120
80.0,12519645,45,45,45
80.0,2250621,70,100,70
80.0,2677677,249,249,249
80.0,11338631,60,57,70
80.0,20163899,199,199,240
80.0,2970480,169,174,167
80.0,12899112,50,50,50
80.0,21151962,150,150,150
80.0,16396640,82,82,82
80.0,9252484,158,158,158
80.0,12246178,64,95,64
80.0,12084009,140,140,140
12.0,4862476,40,40,40
12.0,3808323,68,68,72
12.0,8144049,79,79,79
12.0,13616940,140,120,160
12.0,1258651,300,350,350
12.0,4274595,200,200,200
12.0,11904829,80,80,80
12.0,13372035,65,65,65
12.0,18745314,130,150,130
12.0,20901715,169,169,169
12.0,4401193,130,130,130
12.0,19691986,110,110,89
12.0,1865884,139,139,139
12.0,3031238,58,57,59
12.0,14759718,49,49,49
12.0,16411398,113,112,112
12.0,5697857,49,49,49
12.0,19533506,79,79,79
12.0,16547253,120,120,120
12.0,18057747,68,68,68
40.0,17899730,90,100,120
40.0,13590109,80,80,80
40.0,7967524,55,55,55
40.0,5749147,25,25,25
40.0,20395608,51,51,53
40.0,15944470,100,100,100
40.0,16057443,862,862,862
40.0,16033923,838,838,838
40.0,19999527,59,59,65
40.0,20133468,61,70,70
40.0,20333471,48,48,55
40.0,21172187,25,27,28
2.0,19636069,55,55,55
2.0,19931560,55,55,55
2.0,214917,76,76,76
44.0,18625919,93,93,119
44.0,18612976,59,62,100
44.0,7381893,42,42,43
44.0,433914,62,62,62
44.0,19964262,40,40,45
44.0,18340599,99,99,99
44.0,14010699,70,70,70
44.0,16854141,80,80,120
