amadeus_name,tripadvisor_name,amadeus_code,tripadvisor_url,amadeus_address,tripadvisor_address,lat,lon
The James New York Soho,The James New York - SoHo,NYNYCTJA,/Hotel_Review-g60763-d1785018-Reviews-The_James_New_York_SoHo-New_York_City_New_York.html,27 Grand Street,"27 Grand St., New York City, NY 10013-1618",40.719,-73.99646
The Sohotel,Sohotel,YXNYCH06,/Hotel_Review-g60763-d292140-Reviews-Sohotel-New_York_City_New_York.html,341 Broome St,"341 Broome St, New York City, NY 10013-4236",40.71954,-73.99457
Arlo Soho,Arlo SoHo,CKNYCTHS,/Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York.html,231 Hudson Street,"231 Hudson St, New York City, NY 10013-1412",40.72453,-74.00821
Hampton Inn Manhattan-downtown-financial,Hampton Inn Manhattan / Downtown - Financial District,HXNYC432,/Hotel_Review-g60763-d3580899-Reviews-Hampton_Inn_Manhattan_Downtown_Financial_District-New_York_City_New_York.html,32 Pearl St,"32 Pearl St, New York City, NY 10004-2111",40.70312,-74.01228
Hilton Grdn Inn Financial Ctr Manhattan,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,GINYC774,/Hotel_Review-g60763-d12297961-Reviews-Hilton_Garden_Inn_NYC_Financial_Center_Manhattan_Downtown-New_York_City_New_York.html,6 Water Street,"6 Water Street, New York City, NY 10004",40.70283,-74.01218
The Ritz-carlton Battery Park,"The Ritz-Carlton New York, Battery Park",RZNYCRDZ,/Hotel_Review-g60763-d222959-Reviews-The_Ritz_Carlton_New_York_Battery_Park-New_York_City_New_York.html,2 West Street,"2 West St, New York City, NY 10004-1074",40.70557,-74.01739
Dbltree Metropolitan Nyc,Doubletree Hotel Metropolitan - New York City,DTNYC601,/Hotel_Review-g60763-d93466-Reviews-Doubletree_Hotel_Metropolitan_New_York_City-New_York_City_New_York.html,569 Lexington Avenue,"569 Lexington Ave, at East 51st Street, New York City, NY 10022-7562",40.75694,-73.97205
Grand Hyatt New York,Grand Hyatt New York,HYNYCHNY,/Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html,109 East 42nd St,"109 East 42nd Street, Park Avenue at Grand Central Terminal, New York City, NY 10017-8500",40.75204,-73.97672
Wellington Hotel,Wellington Hotel,YXNYCWEL,/Hotel_Review-g60763-d99307-Reviews-Wellington_Hotel-New_York_City_New_York.html,871 7the Avenue @55th Street,"871 7th Avenue at W 55th St, New York City, NY 10019",40.76456,-73.98038
Nylo New York City,NYLO New York City,XTNYC178,/Hotel_Review-g60763-d99288-Reviews-NYLO_New_York_City-New_York_City_New_York.html,2178 Broadway,"2178 Broadway, at W 77th Street, New York City, NY 10024-6647",40.7823,-73.98071
The New Yorker A Wyndham Hotel,The New Yorker A Wyndham Hotel,WYNYC542,/Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_A_Wyndham_Hotel-New_York_City_New_York.html,481 8th Avenue,"481 8TH Avenue, New York City, NY 10001-1809",40.75273,-73.99364
Pod 51 Hotel,Pod 51 Hotel,OKNYCP51,/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html,230 East 51st Street,"230 East 51st Street, New York City, NY 10022-6571",40.75609,-73.96959
Hilton Garden Inn Times Square,Hilton Garden Inn Times Square,GINYC790,/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,790 Eighth Avenue,"790 Eighth Avenue, New York City, NY 10019-7568",40.76106,-73.98703
New York Hilton Midtown,New York Hilton Midtown,HHNYC507,/Hotel_Review-g60763-d611947-Reviews-New_York_Hilton_Midtown-New_York_City_New_York.html,1335 Avenue Of The Americas,"1335 Avenue of the Americas, 6th Avenue at 54th Street, New York City, NY 10019-6078",40.76206,-73.97899
Hotel Beacon,Hotel Beacon,YXNYC222,/Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html,2130 Broadway At 75th,"2130 Broadway at 75th Street, New York City, NY 10023",40.77935,-73.97736
Hilton New York Grand Central,Hilton New York Grand Central,HHNYC986,/Hotel_Review-g60763-d93339-Reviews-Hilton_New_York_Grand_Central-New_York_City_New_York.html,304 East 42nd Street,"E 42nd St, New York City, NY 10017-5905",40.74911,-73.9721
The Time New York,The Time New York,DZNYCTHN,/Hotel_Review-g60763-d112062-Reviews-The_Time_New_York-New_York_City_New_York.html,224 West 49th Street,"224 W 49th St, New York City, NY 10019-7405",40.76097,-73.98551
The London Nyc,The London NYC,CNNYC151,/Hotel_Review-g60763-d630409-Reviews-The_London_NYC-New_York_City_New_York.html,151 West 54th Street,"151 West 54th Street, New York City, NY 10019-5302",40.76357,-73.9807
Dream Downtown,Dream Downtown,DZNYCDDT,/Hotel_Review-g60763-d2173604-Reviews-Dream_Downtown-New_York_City_New_York.html,355 West 16th Street,"355 West 16th Street, Near 9th Ave, New York City, NY 10011-5902",40.74178,-74.0031
Millennium Hilton New York One Un Plaza,Millennium Hilton New York One UN Plaza,HHNYCHUN,/Hotel_Review-g60763-d209382-Reviews-Millennium_Hilton_New_York_One_UN_Plaza-New_York_City_New_York.html,1 United Nations Plaza,"One United Nations Plaza, 44th Street, New York City, NY 10017-3515",40.75056,-73.96953
Jw Marriott Essex House,JW Marriott Essex House New York,MCNYCEXM,/Hotel_Review-g60763-d455186-Reviews-JW_Marriott_Essex_House_New_York-New_York_City_New_York.html,160 Central Park South,"160 Central Park S, New York City, NY 10019-1502",40.76545,-73.97671
The Jewel Hotel,The Jewel facing Rockefeller Center,YXNYCJNY,/Hotel_Review-g60763-d1913413-Reviews-The_Jewel_facing_Rockefeller_Center-New_York_City_New_York.html,11 West 51st Street,"11 West 51 Street, New York City, NY 10019-6994",40.75979,-73.97763
Hotel Mela,Hotel Mela,XTNYC088,/Hotel_Review-g60763-d612263-Reviews-Hotel_Mela-New_York_City_New_York.html,120 West 44th St,"120 West 44th St, New York City, NY 10036-4050",40.75639,-73.98434
Distrikt Hotel Nyc - Times Squ,Distrikt Hotel New York City,PWNYC424,/Hotel_Review-g60763-d1503474-Reviews-Distrikt_Hotel_New_York_City-New_York_City_New_York.html,342 West 40th Street,"342 West 40th Street, New York City, NY 10018-1404",40.7566,-73.99287
La Quinta Inn Ste Brooklyn East,La Quinta Inn & Suites Brooklyn East,LQNYC571,/Hotel_Review-g60827-d8595091-Reviews-La_Quinta_Inn_Suites_Brooklyn_East-Brooklyn_New_York.html,1412 Pitkin Ave,"1412 Pitkin Ave, Brooklyn, NY 11233-5110",40.66834,-73.92039
Comfort Inn Staten Island,Comfort Inn Staten Island,CIEWR470,/Hotel_Review-g48682-d1204391-Reviews-Comfort_Inn_Staten_Island-Staten_Island_New_York.html,310 Wild Avenue,"310 Wild Ave, Staten Island, NY 10314-4710",40.58743,-74.191
Best Western Jfk Airport Hotel,Best Western JFK Airport Hotel,BWJFK119,/Hotel_Review-g47962-d268513-Reviews-Best_Western_JFK_Airport_Hotel-Jamaica_Queens_New_York.html,14425 153rd Lane,"14425 153rd Ln, Jamaica, NY 11434-4203",40.66617,-73.78498
Courtyard Tarrytown Marriott,Courtyard by Marriott Tarrytown Westchester County,CYHPNGRC,/Hotel_Review-g48720-d93838-Reviews-Courtyard_by_Marriott_Tarrytown_Westchester_County-Tarrytown_New_York.html,475 White Plains Rd,"475 White Plains Rd, Tarrytown, NY 10591-4904",41.0633,-73.84412
Best Western Plus Morristown,Best Western Plus Morristown Inn,BWMMU016,/Hotel_Review-g60906-d75921-Reviews-Best_Western_Plus_Morristown_Inn-Morristown_Morris_County_New_Jersey.html,270 South Street,"270 South St, Morristown, NJ 07960-6019",40.78703,-74.46944
