name,date_scraped,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
Avenue Plaza Hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"4624 13th Ave, Brooklyn, NY 11219-2630",,47,4.5,,230-552,"['Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Laundry Service', 'Air Conditioning', 'Refrigerator in room']",35,3.0 Star Hotel,/Hotel_Review-g60827-d1529213-Reviews-Avenue_Plaza_Hotel-Brooklyn_New_York.html
Hyatt Herald Square New York,2017-11-07,2017-12-09,2017-12-10,2,1,"30 W 31st Street, New York City, NY 10001",Hyatt.com,983,4,474,193-571,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Room Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",169,4.0 Star Hotel,/Hotel_Review-g60763-d1940859-Reviews-Hyatt_Herald_Square_New_York-New_York_City_New_York.html
Garden City Hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"45 7th St, Garden City, NY 11530-2890",,571,4.5,,219-399,"['Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free Parking', 'Bar/Lounge', 'Spa', 'Business Center with Internet Access', 'Room Service', 'Free Parking', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Heated pool', 'Indoor pool']",1,4.0 Star Hotel,/Hotel_Review-g47770-d93191-Reviews-Garden_City_Hotel-Garden_City_Long_Island_New_York.html
LaGuardia Plaza Hotel - New York,2017-11-07,2017-12-09,2017-12-10,2,1,"10404 Ditmars Blvd, East Elmhurst, NY 11369-1665",AMOMA,"1,012",3.5,183,190-258,"['Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Business Center with Internet Access', 'Shuttle Bus Service', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Hot Tub', 'Heated pool', 'Indoor pool']",3,3.5 Star Hotel,/Hotel_Review-g47626-d93644-Reviews-LaGuardia_Plaza_Hotel_New_York-East_Elmhurst_Queens_New_York.html
Days Inn Brooklyn Borough Park,2017-11-07,2017-12-09,2017-12-10,2,1,"1766 East 49th Street, Brooklyn, NY 11234",Booking.com,11,3.5,179,121-220,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff']",43,2.5 Star Hotel,/Hotel_Review-g60827-d12579252-Reviews-Days_Inn_Brooklyn_Borough_Park-Brooklyn_New_York.html
Quality Inn Woodside,2017-11-07,2017-12-09,2017-12-10,2,1,"5305 Queens Blvd, Woodside, NY 11377-4641",Hotels.com,389,3.5,,822-875,"['Free Parking', 'Breakfast included', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Breakfast included', 'Meeting Rooms', 'Business Center with Internet Access', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",1,2.5 Star Hotel,/Hotel_Review-g48914-d1778549-Reviews-Quality_Inn_Woodside-Woodside_Queens_New_York.html
West 57th Street by Hilton Club,2017-11-07,2017-12-09,2017-12-10,2,1,"102 W 57th St, New York City, NY 10019-3302",,"1,400",4.5,,287-868,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Dry Cleaning', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Fitness Center with Gym / Workout Room']",55,4.0 Star Hotel,/Hotel_Review-g60763-d1308397-Reviews-West_57th_Street_by_Hilton_Club-New_York_City_New_York.html
Hyatt Centric Times Square New York,2017-11-07,2017-12-09,2017-12-10,2,1,"135 West 45th Street, New York City, NY 10036-4004",Hyatt.com,"4,026",4.5,503,217-626,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Spa', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",54,4.5 Star Hotel,/Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York.html
Holiday Inn Express At JFK,2017-11-07,2017-12-09,2017-12-10,2,1,"15370 S Conduit Ave, Jamaica, NY 11434-4237",Expedia.com,895,3.5,190,171-274,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Shuttle Bus Service', 'Airport Transportation', 'Breakfast included', 'Laundry Service', 'Multilingual Staff', 'Dry Cleaning', 'Fitness Center with Gym / Workout Room']",11,2.5 Star Hotel,/Hotel_Review-g47962-d266059-Reviews-Holiday_Inn_Express_At_JFK-Jamaica_Queens_New_York.html
Holiday Inn Express LaGuardia Airport,2017-11-07,2017-12-09,2017-12-10,2,1,"113-10 Horace Harding Expressway, Flushing, NY 11368",Booking.com,249,4,219,207-285,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Shuttle Bus Service', 'Breakfast included', 'Multilingual Staff', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Fitness Center with Gym / Workout Room', 'Tennis Court']",8,2.5 Star Hotel,/Hotel_Review-g47729-d75804-Reviews-Holiday_Inn_Express_LaGuardia_Airport-Flushing_Queens_New_York.html
Howard Johnson Inn Jamaica JFK Airport NYC,2017-11-07,2017-12-09,2017-12-10,2,1,"15395 Rockaway Blvd, Jamaica, NY 11434-3635",Booking.com,650,3,151,144-222,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Room Service', 'Free Parking', 'Shuttle Bus Service', 'Breakfast included', 'Room Service', 'Airport Transportation', 'Air Conditioning', 'Hot Tub']",18,2.0 Star Hotel,/Hotel_Review-g47962-d225471-Reviews-Howard_Johnson_Inn_Jamaica_JFK_Airport_NYC-Jamaica_Queens_New_York.html
"The Ritz-Carlton New York, Central Park",2017-11-07,2017-12-09,2017-12-10,2,1,"50 Central Park South, New York City, NY 10019-1613",TripAdvisor,"1,527",4.5,2117,760-1988,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Free Internet', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Babysitting', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa']",37,5.0 Star Hotel,/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html
W Hoboken,2017-11-07,2017-12-09,2017-12-10,2,1,"225 River St, Hoboken, NJ 07030-4772",Expedia.com,"1,205",4.5,305,213-521,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Pool', 'Free Internet', 'Spa', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Pool', 'Spa']",1,4.0 Star Hotel,/Hotel_Review-g46515-d1235582-Reviews-W_Hoboken-Hoboken_New_Jersey.html
Shkolnick Motel,2017-11-07,2017-12-09,2017-12-10,2,1,"273 Avenue P, Brooklyn, NY 11204-4152",,0,-1,,,"['11 ', 'United States >', 'New York >', 'Brooklyn ']",,,/Hotel_Review-g60827-d1638724-Reviews-Shkolnick_Motel-Brooklyn_New_York.html
Hilton Brooklyn New York,2017-11-07,2017-12-09,2017-12-10,2,1,"140 Schermerhorn St, Brooklyn, NY 11201-5987",Expedia.com,309,4.5,242,158-430,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",10,4.0 Star Hotel,/Hotel_Review-g60827-d10184216-Reviews-Hilton_Brooklyn_New_York-Brooklyn_New_York.html
Residence Inn New York Manhattan / Midtown East,2017-11-07,2017-12-09,2017-12-10,2,1,"148 East 48th Street, New York City, NY 10017",Hotels.com,"1,707",4.5,528,196-599,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",40,3.5 Star Hotel,/Hotel_Review-g60763-d3583686-Reviews-Residence_Inn_New_York_Manhattan_Midtown_East-New_York_City_New_York.html
Conrad New York,2017-11-07,2017-12-09,2017-12-10,2,1,"102 North End Avenue, New York City, NY 10282-1238",Travelocity,"3,377",4.5,,295-692,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Meeting Rooms', 'Business Center with Internet Access', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",32,5.0 Star Hotel,/Hotel_Review-g60763-d208452-Reviews-Conrad_New_York-New_York_City_New_York.html
The Peninsula New York,2017-11-07,2017-12-09,2017-12-10,2,1,"700 Fifth Avenue at 55th Street, New York City, NY 10019",The Peninsula,"1,119",4.5,1186,581-1635,"['Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Spa', 'Pool', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Babysitting', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Pool', 'Heated pool', 'Indoor pool', 'Tennis Court']",58,5.0 Star Hotel,/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York.html
Staten Island New York Hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"300 Wild Avenue, Staten Island, NY 10314",Booking.com,5,4,116,123-204,"['Room Service', 'Free Parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Shuttle Bus Service', 'Room Service', 'Free Parking', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Self-Serve Laundry', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",5,2.5 Star Hotel,/Hotel_Review-g48682-d5539370-Reviews-Staten_Island_New_York_Hotel-Staten_Island_New_York.html
W New York - Union Square,2017-11-07,2017-12-09,2017-12-10,2,1,"201 Park Ave S, New York City, NY 10003-1634",Expedia.com,"1,505",4,492,244-719,"['Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Self-Serve Laundry', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",165,4.5 Star Hotel,/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York.html
Dolce Basking Ridge,2017-11-07,2017-12-09,2017-12-10,2,1,"300 N Maple Ave, Basking Ridge, NJ 07920-1043",Booking.com,803,4,,173-275,"['Pool', 'Room Service', 'Free Parking', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Business Center with Internet Access', 'Room Service', 'Free Parking', 'Meeting Rooms', 'Laundry Service', 'Banquet Room', 'Conference Facilities', 'Shuttle Bus Service', 'Dry Cleaning', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Breakfast Available', 'Air Conditioning', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Heated pool', 'Hot Tub', 'Tennis Court', 'Indoor pool']",1,3.5 Star Hotel,/Hotel_Review-g46287-d242326-Reviews-Dolce_Basking_Ridge-Basking_Ridge_New_Jersey.html
Hyatt Union Square New York,2017-11-07,2017-12-09,2017-12-10,2,1,"134 4th Ave, New York City, NY 10003-4903",Hyatt.com,"1,724",4.5,474,280-670,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Airport Transportation', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Business Center with Internet Access', 'Air Conditioning', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",109,4.0 Star Hotel,/Hotel_Review-g60763-d3533197-Reviews-Hyatt_Union_Square_New_York-New_York_City_New_York.html
