name,date_scraped,check_in,check_out,adults,rooms,address,lat,lon,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
AKA Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"123 W 44th St, Between 6th & Broadway, New York City, NY 10036-4089",40.75679575,-73.9841243132111,,597,4.5,,290-723,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Self-Serve Laundry', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",114,4.0 Star Hotel,/Hotel_Review-g60763-d655944-Reviews-AKA_Times_Square-New_York_City_New_York.html
TRYP New York City Times Square South,2017-11-01,12/9/2017,12/10/2017,2,1,"345 West 35th Street, Steps to Times Square, High-line, Etc, New York City, NY 10001-1701",,,AMOMA,"3,865",4.5,570,157-472,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room', 'Restaurant']",180,4.5 Star Hotel,/Hotel_Review-g60763-d2253206-Reviews-TRYP_New_York_City_Times_Square_South-New_York_City_New_York.html
Lafayette House,2017-11-01,12/9/2017,12/10/2017,2,1,"38 E 4th St, New York City, NY 10003-7008",30.2240897,-92.0198427,,47,4.5,,325-495,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Room Service', 'Airport Transportation', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Babysitting', 'Air Conditioning', 'Refrigerator in room']",400,3.0 Star Hotel,/Hotel_Review-g60763-d655870-Reviews-Lafayette_House-New_York_City_New_York.html
Four Points by Sheraton Manhattan Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"160 W 25th St, New York City, NY 10001-7479",,,,"1,039",4,,160-509,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Pool', 'Laundry Service', 'Multilingual Staff', 'Dry Cleaning', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Pool', 'Tennis Court']",327,3.0 Star Hotel,/Hotel_Review-g60763-d281234-Reviews-Four_Points_by_Sheraton_Manhattan_Chelsea-New_York_City_New_York.html
St. Marks Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"2 Saint Marks Place, New York City, NY 10003-8099",12.9691985,77.6001785526473,Orbitz.com,,3.5,,138-209,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",394,3.0 Star Hotel,/Hotel_Review-g60763-d290987-Reviews-St_Marks_Hotel-New_York_City_New_York.html
Courtyard New York Manhattan/Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"135 W 30th St, New York City, NY 10001-4012",,,Courtyard,882,4.5,370,185-532,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Dry Cleaning', 'Self-Serve Laundry', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",111,3.5 Star Hotel,/Hotel_Review-g60763-d5039880-Reviews-Courtyard_New_York_Manhattan_Chelsea-New_York_City_New_York.html
"nyma, the New York Manhattan Hotel",2017-11-01,12/9/2017,12/10/2017,2,1,"6 W 32nd St, New York City, NY 10001-3802",,,Expedia.com,"2,794",4,429,148-407,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Bar/Lounge', 'Breakfast included', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Bar/Lounge']",333,3.0 Star Hotel,/Hotel_Review-g60763-d224223-Reviews-Nyma_the_New_York_Manhattan_Hotel-New_York_City_New_York.html
Avalon Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"16 East 32nd Street, New York City, NY 10016-5402",57.703985,11.9682213,Cancelon,"1,620",4.5,445,171-549,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Multilingual Staff', 'Business Center with Internet Access', 'Concierge', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Fitness Center with Gym / Workout Room']",127,4.0 Star Hotel,/Hotel_Review-g60763-d99387-Reviews-Avalon_Hotel-New_York_City_New_York.html
Kimpton Muse Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"130 West 46th Street, New York City, NY 10036-8501",,,,"3,258",4.5,,235-622,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",65,4.5 Star Hotel,/Hotel_Review-g60763-d217616-Reviews-Kimpton_Muse_Hotel-New_York_City_New_York.html
Excelsior Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"45 W 81st St, New York City, NY 10024-6025",51.5289201,-0.1228238,Cancelon,"2,116",4,971,146-512,"['Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Business Center with Internet Access', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Dry Cleaning', 'Conference Facilities', 'Banquet Room', 'Air Conditioning', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",251,3.5 Star Hotel,/Hotel_Review-g60763-d93334-Reviews-Excelsior_Hotel-New_York_City_New_York.html
Hotel 17,2017-11-01,12/9/2017,12/10/2017,2,1,"225 East 17th Street, New York City, NY 10003-3699",-33.0419223,-71.6263935,,"1,355",4,,74-79,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",261,2.0 Star Hotel,/Hotel_Review-g60763-d93379-Reviews-Hotel_17-New_York_City_New_York.html
Gansevoort Meatpacking NYC,2017-11-01,12/9/2017,12/10/2017,2,1,"18 9th Avenue, at 13th Street, New York City, NY 10014-1202",,,Booking.com,"1,841",4,444,285-653,"['Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Breakfast Available', 'Meeting Rooms', 'Banquet Room', 'Conference Facilities', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Heated pool', 'Outdoor pool']",214,4.5 Star Hotel,/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
Life Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"19 West 31st Street, Off Fifth Ave, New York City, NY 10001-4402",36.8817125,30.7090511,Hotels.com,,4,,174-459,"['Free High Speed Internet ( WiFi )', 'Laundry Service', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning']",321,4.0 Star Hotel,/Hotel_Review-g60763-d93452-Reviews-Life_Hotel-New_York_City_New_York.html
Broadway at Times Square Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"129 West 46th Street, New York City, NY 10036-8502",,,,"2,120",4,,144-375,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",190,3.0 Star Hotel,/Hotel_Review-g60763-d112021-Reviews-Broadway_at_Times_Square_Hotel-New_York_City_New_York.html
